"0","tb_cases <- tibble("
"0","  country = c("
"0","    ""Afghanistan"", ""Afghanistan"", ""Brazil"", ""Brazil"", ""China"","
"0","    ""China"""
"0","  ),"
"0","  century = c(""19"", ""20"", ""19"", ""20"", ""19"", ""20""),"
"0","  year = c(""99"", ""00"", ""99"", ""00"", ""99"", ""00""),"
"0","  rate = c("
"0","    ""745/19987071"", ""2666/20595360"","
"0","    ""37737/172006362"", ""80488/174504898"","
"0","    ""212258/1272915272"", ""213766/1280428583"""
"0","  )"
"0",")"
"0",""
"0","tb_cases"
